s,Density of matrix,Normalized cumulative neighbouring distance
1000,0.07780753916150705, 215.958
2000,0.07733224779479361, 227.1725
3000,0.07809773019794085, 228.69166666666666
4000,0.0770213647012212, 224.754
5000,0.07753047475640461, 221.3346
6000,0.07771357525924778, 222.908
7000,0.07844392244656657, 221.576
8000,0.07912628753305995, 222.15675
9000,0.07891895690429553, 220.74444444444444
10000,0.07818218929419132, 222.6124
